freq,unit,wstatus,age,sex,reason,geo,time,value
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No time,Spain,2017,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No time,Spain,2018,0.2
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No time,Spain,2019,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No time,Spain,2020,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No time,Spain,2021,0.0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No time,Spain,2022,0.2
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No time,Spain,2023,0.3
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No time,Spain,2024,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2008,92.7
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2009,90.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2010,91.8
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2011,93.6
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2012,92.3
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2013,91.6
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2014,93.3
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2015,97.7
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2016,98.3
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2017,99.7
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2018,99.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2019,99.6
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2020,98.4
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2021,97.3
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2022,97.8
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2023,97.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,No unmet needs to declare,Spain,2024,97.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2008,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2009,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2010,0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2011,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2012,0.2
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2013,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2014,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2015,0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2016,0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2017,0.0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2018,0.0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2019,0.0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2020,0.0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2021,0.0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2022,0.0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2023,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Didn't know any good doctor or specialist,Spain,2024,0.0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2008,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2009,0.3
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2010,0.0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2011,0.3
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2012,0.0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2013,0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2014,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2015,0.3
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2016,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2017,0.0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2018,0.0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2019,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2020,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2021,1.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2022,1.0
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2023,0.8
Annual,Percentage,Employed persons,From 25 to 34 years,Total,Waiting list,Spain,2024,1.4
Annual,Percentage,Employed persons,From 25 to 34 years,Total,"Fear of doctor, hospital, examination or treatment",Spain,2008,0.2
Annual,Percentage,Employed persons,From 25 to 34 years,Total,"Fear of doctor, hospital, examination or treatment",Spain,2009,0.4
Annual,Percentage,Employed persons,From 25 to 34 years,Total,"Fear of doctor, hospital, examination or treatment",Spain,2010,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,"Fear of doctor, hospital, examination or treatment",Spain,2011,0.1
Annual,Percentage,Employed persons,From 25 to 34 years,Total,"Fear of doctor, hospital, examination or treatment",Spain,2012,0.4
